4N2K:	HEADER    HYDROLASE                               05-OCT-13   4N2K              
4BPS:	HEADER    HYDROLASE                               28-MAY-13   4BPS              
3IUO:	HEADER    HYDROLASE                               31-AUG-09   3IUO              
3SK7:	HEADER    REPLICATION INHIBITOR                   22-JUN-11   3SK7              
2Z72:	HEADER    HYDROLASE                               10-AUG-07   2Z72              
4ZAV:	HEADER    LYASE                                   14-APR-15   4ZAV              
3ZZS:	HEADER    TRANSCRIPTION                           02-SEP-11   3ZZS              
5M7Y:	HEADER    HYDROLASE                               28-OCT-16   5M7Y              
2DEJ:	HEADER    TRANSFERASE                             10-FEB-06   2DEJ              
4N2P:	HEADER    CHAPERONE                               05-OCT-13   4N2P              
4BPF:	HEADER    LIGASE                                  26-MAY-13   4BPF              
2W8T:	HEADER    TRANSFERASE                             19-JAN-09   2W8T              
3CJS:	HEADER    TRANSFERASE/RIBOSOMAL PROTEIN           13-MAR-08   3CJS              
5F2K:	HEADER    TRANSFERASE                             02-DEC-15   5F2K              
3AGN:	HEADER    HYDROLASE                               03-APR-10   3AGN              
2WJ5:	HEADER    CHAPERONE                               22-MAY-09   2WJ5              
1F1E:	HEADER    DNA BINDING PROTEIN                     18-MAY-00   1F1E              
3MBR:	HEADER    TRANSFERASE                             25-MAR-10   3MBR              
3ZZO:	HEADER    IMMUNE SYSTEM                           02-SEP-11   3ZZO              
4DVC:	HEADER    OXIDOREDUCTASE                          23-FEB-12   4DVC              
3TEW:	HEADER    PROTEIN TRANSPORT, TOXIN                15-AUG-11   3TEW              
3SK2:	HEADER    GRISEOLUTEATE-BINDING PROTEIN           22-JUN-11   3SK2              
5A9T:	HEADER    OXIDOREDUCTASE                          22-JUL-15   5A9T              
4ZA9:	HEADER    LYASE                                   13-APR-15   4ZA9              
5FLW:	HEADER    HYDROLASE                               28-OCT-15   5FLW              
2XU3:	HEADER    HYDROLASE                               14-OCT-10   2XU3              
4O1R:	HEADER    SPLICING                                16-DEC-13   4O1R              
2V9L:	HEADER    LYASE                                   24-AUG-07   2V9L              
5A99:	HEADER    VIRAL PROTEIN                           17-JUL-15   5A99              
3TE4:	HEADER    TRANSFERASE                             12-AUG-11   3TE4              
1E7L:	HEADER    ENDONUCLEASE                            29-AUG-00   1E7L              
5A95:	HEADER    HYDROLASE                               17-JUL-15   5A95              
3Q64:	HEADER    STRUCTURE GENOMICS, UNKNOWN FUNCTION    30-DEC-10   3Q64              
2FI1:	HEADER    HYDROLASE                               27-DEC-05   2FI1              
2R5O:	HEADER    TRANSPORT PROTEIN                       04-SEP-07   2R5O              
1YU5:	HEADER    STRUCTURAL PROTEIN                      11-FEB-05   1YU5              
5LXE:	HEADER    OXIDOREDUCTASE                          20-SEP-16   5LXE              
1XDN:	HEADER    LIGASE                                  07-SEP-04   1XDN              
5HHE:	HEADER    CELL CYCLE                              10-JAN-16   5HHE              
1KDG:	HEADER    OXIDOREDUCTASE                          13-NOV-01   1KDG              
