IDs         length   Exptl.  resolution  R-factor FreeRvalue
7ODCA       424      XRAY        1.600    0.20    0.23
2VK2A       306      XRAY        1.200    0.18    0.19
2QUDA       125      XRAY        1.600    0.16    0.20
3KYZA       125      XRAY        1.500    0.15    0.18
3T47A        81      XRAY        1.300    0.16    0.19
4G7XA       105      XRAY        1.440    0.21    0.22
1WVFA       520      XRAY        1.300    0.15    0.17
3ZSJA       138      XRAY        0.860    0.13    0.14
4QASA       201      XRAY        1.250    0.17    0.19
3A5FA       291      XRAY        1.190    0.11    0.14
3L1NA       194      XRAY        1.300    0.18    0.20
5M1PA       191      XRAY        1.100    0.22    0.23
5GPIA        53      XRAY        1.580    0.17    0.20
5IT3A        85      XRAY        1.400    0.16    0.19
4LA2A       198      XRAY        1.600    0.20    0.22
4P0TA       176      XRAY        1.490    0.13    0.16
1OD3A       168      XRAY        1.000    0.13    0.15
5FTBA       433      XRAY        1.380    0.17    0.18
3AJ6A       286      XRAY        1.480    0.17    0.19
3M0ZA       249      XRAY        1.200    0.13    0.15
4UQZB       172      XRAY        1.600    0.19    0.22
2GPIA        91      XRAY        1.600    0.15    0.17
4ZLDA       155      XRAY        1.600    0.16    0.18
5B1AK        56      XRAY        1.500    0.15    0.17
2NWRA       267      XRAY        1.500    0.23    0.25
5I7SA       276      XRAY        1.590    0.15    0.18
4OXXA       162      XRAY        1.210    0.14    0.16
2OLRA       540      XRAY        1.600    0.18    0.20
2ODKA        89      XRAY        1.400    0.14    0.15
5TJXA       263      XRAY        1.410    0.16    0.18
2CVIA        83      XRAY        1.500    0.20    0.23
2BZ1A       196      XRAY        1.540    0.19    0.21
1YD9A       193      XRAY        1.600    0.23    0.26
4N67A       227      XRAY        1.550    0.17    0.19
3UB6A       181      XRAY        1.380    0.12    0.15
4PJ2A       135      XRAY        1.240    0.15    0.17
3SMVA       240      XRAY        1.380    0.12    0.16
3PHXA       185      XRAY        1.600    0.14    0.19
4WRIA       192      XRAY        1.400    0.17    0.20
5A0YB       443      XRAY        1.100    0.11    0.13
1MJ5A       302      XRAY        0.950    0.11    0.14
3ZNVA       275      XRAY        1.300    0.13    0.15
3WA2X       621      XRAY        1.080    0.13    0.15
2BZVA       181      XRAY        1.150    0.12    0.13
2PR7A       137      XRAY        1.440    0.17    0.20
4N4UA       326      XRAY        1.570    0.18    0.21
4KV7A       381      XRAY        1.200    0.15    0.16
2HEUA       401      XRAY        1.040    0.13    0.16
2I53A       258      XRAY        1.500    0.18    0.22
4YUCA       335      XRAY        1.310    0.17    0.19
5UEJA       384      XRAY        1.300    0.12    0.15
2GB4A       252      XRAY        1.250    0.14    0.19
1ZHVA       134      XRAY        1.500    0.24    0.25
3IE7A       320      XRAY        1.600    0.22    0.24
4G6TA       128      XRAY        1.560    0.21    0.23
2IELA       138      XRAY        1.600    0.27    0.28
5AZXA       103      XRAY        1.580    0.23    0.25
5B1AD       147      XRAY        1.500    0.15    0.17
3HNYM       159      XRAY        1.070    0.20    0.20
3H75A       350      XRAY        1.600    0.21    0.23
1EAQA       140      XRAY        1.250    0.15    0.17
2O1QA       145      XRAY        1.500    0.18    0.21
2VPBA        65      XRAY        1.590    0.19    0.23
3SQZA       425      XRAY        1.200    0.14    0.15
1FO8A       343      XRAY        1.400    0.17    0.18
2DKOB       103      XRAY        1.060    0.14    0.17
4N13A       265      XRAY        1.300    0.14    0.16
5GJIA       108      XRAY        0.900    0.13    0.14
3FSSA       237      XRAY        1.430    0.18    0.21
3I94A       248      XRAY        1.040    0.12    0.15
3EF8A       150      XRAY        1.500    0.16    0.19
2WLVA       144      XRAY        1.250    0.15    0.18
5DM2A       265      XRAY        1.500    0.21    0.24
4KRUA       229      XRAY        1.370    0.17    0.19
5KVRA        77      XRAY        1.360    0.18    0.21
4CNNA       252      XRAY        1.000    0.13    0.15
2WTPA       131      XRAY        1.500    0.16    0.19
5LY8A       247      XRAY        1.280    0.18    0.20
5HB7A       125      XRAY        0.820    0.12    0.13
3HKWA       581      XRAY        1.550    0.17    0.19
3T8JA       311      XRAY        1.600    0.16    0.17
4Y9WA       334      XRAY        0.830    0.12    0.12
4F01A       241      XRAY        1.400    0.16    0.21
4A3ZA       161      XRAY        1.550    0.13    0.17
1M15A       357      XRAY        1.200    0.12    0.14
4P3HA       193      XRAY        1.450    0.17    0.20
2HHCA       330      XRAY        1.540    0.18    0.20
5J41A       209      XRAY        1.190    0.16    0.19
2QGUA       211      XRAY        1.500    0.19    0.21
4MNOA       115      XRAY        1.350    0.16    0.19
3ONDA       488      XRAY        1.170    0.13    0.16
5JJ2A       211      XRAY        1.250    0.16    0.18
4ZOYA       491      XRAY        1.500    0.18    0.20
5JH8A       317      XRAY        1.020    0.13    0.15
4ZH5A       426      XRAY        1.350    0.12    0.15
2HLYA       207      XRAY        1.600    0.17    0.21
5BY5A       146      XRAY        1.200    0.12    0.15
4BPSA       344      XRAY        1.080    0.13    0.15
5COFA       173      XRAY        1.350    0.12    0.14
4ZURA       341      XRAY        1.130    0.12    0.14
5A61A       435      XRAY        1.500    0.15    0.17
4C2VC        44      XRAY        1.490    0.17    0.20
5CEGA        93      XRAY        1.590    0.17    0.20
2HQSA       415      XRAY        1.500    0.19    0.21
3BMZA       199      XRAY        1.210    0.17    0.20
4WU0A       361      XRAY        1.600    0.14    0.16
3ZJAA       140      XRAY        1.480    0.19    0.23
4OH7A       320      XRAY        1.500    0.16    0.18
4FNVA       702      XRAY        1.600    0.18    0.20
4RD4A       415      XRAY        1.300    0.17    0.20
2FCWB        80      XRAY        1.260    0.15    0.20
4DVCA       184      XRAY        1.200    0.12    0.14
4P3VA        90      XRAY        1.250    0.16    0.17
5EJXA       294      XRAY        1.500    0.23    0.26
1GNLA       544      XRAY        1.250    0.13    0.14
3M8TA       294      XRAY        1.330    0.14    0.18
2CDCA       366      XRAY        1.500    0.21    0.24
4YG0A       164      XRAY        1.280    0.17    0.20
4YYCA       525      XRAY        1.560    0.14    0.17
4ME2A       257      XRAY        1.600    0.21    0.24
1TKEA       224      XRAY        1.460    0.18    0.21
3BONA       425      XRAY        1.200    0.13    0.16
4CJ0A       625      XRAY        1.100    0.11    0.12
2O9SA        67      XRAY        0.830    0.10    0.12
1FJ2A       232      XRAY        1.500    0.18    0.24
4ZX2A       333      XRAY        1.230    0.16    0.17
4UJ7A       219      XRAY        1.540    0.19    0.22
4I1KA       146      XRAY        1.600    0.12    0.17
1FP2A       352      XRAY        1.400    0.23    0.23
3HR6A       436      XRAY        1.600    0.19    0.22
5HWAA       259      XRAY        1.350    0.14    0.17
3SXMA       140      XRAY        1.550    0.17    0.19
5A3AA       303      XRAY        1.540    0.15    0.20
3RKGA       261      XRAY        1.280    0.17    0.20
5DLTA       827      XRAY        1.600    0.17    0.20
4V3LC        79      XRAY        1.530    0.18    0.19
4JJAA       371      XRAY        1.300    0.12    0.15
1OYGA       447      XRAY        1.500    0.17    0.17
2EABA       899      XRAY        1.120    0.18    0.19
3ND1A       275      XRAY        1.500    0.20    0.22
3QZXA       195      XRAY        1.300    0.13    0.16
4GXWA       380      XRAY        1.300    0.16    0.18
4NPDA        58      XRAY        0.900    0.11    0.13
5LJMA       215      XRAY        1.450    0.18    0.23
4PLZA       322      XRAY        1.050    0.13    0.15
3L32A        45      XRAY        1.500    0.20    0.23
2ANXA       146      XRAY        1.040    0.12    0.15
4Q2LA        70      XRAY        1.070    0.18    0.20
4V1KA       138      XRAY        1.600    0.12    0.15
4ZV5A        91      XRAY        1.570    0.23    0.26
3Q1XA       313      XRAY        1.590    0.16    0.18
